Company,Image URL,Dominant Color,Color Class
Louis Vuitton,https://assets.vogue.com/photos/66a2640c36b075e7c5cfa319/master/w_1280%2Cc_limit/00001-rachel-antonoff-fall-2024-ready-to-wea-credit-brand.jpg,"(51, 0, 0)",Dark Color
Chanel,https://assets.vogue.com/photos/65e71ba7c1289038f27fb10e/master/w_1280%2Cc_limit/00001-chanel-fall-2024-ready-to-wear-credit-gorunway.jpg,"(139, 196, 182)",Other
Chanel,https://assets.vogue.com/photos/65e71bb1c1289038f27fb110/master/w_2560%2Cc_limit/00001-chanel-fall-2024-ready-to-wear-credit-gorunway.jpg,"(139, 196, 180)",Other
Chanel,https://assets.vogue.com/photos/65e71bb1543cae639606b8d5/master/w_2560%2Cc_limit/00002-chanel-fall-2024-ready-to-wear-credit-gorunway.jpg,"(138, 196, 177)",Other
Chanel,https://assets.vogue.com/photos/65e71bb100159cdf0d451803/master/w_2560%2Cc_limit/00003-chanel-fall-2024-ready-to-wear-credit-gorunway.jpg,"(110, 173, 155)",Other
Chanel,https://assets.vogue.com/photos/65e71bb5543cae639606b8d7/master/w_2560%2Cc_limit/00004-chanel-fall-2024-ready-to-wear-credit-gorunway.jpg,"(62, 81, 108)",Dark Color
Chanel,https://assets.vogue.com/photos/65e71bb6bed12168d45056a8/master/w_2560%2Cc_limit/00005-chanel-fall-2024-ready-to-wear-credit-gorunway.jpg,"(71, 107, 99)",Other
Chanel,https://assets.vogue.com/photos/65e71bb7053ba568549bbeb2/master/w_2560%2Cc_limit/00006-chanel-fall-2024-ready-to-wear-credit-gorunway.jpg,"(1, 0, 0)",Dark Color
Chanel,https://assets.vogue.com/photos/65e71bba41499505876f3f34/master/w_2560%2Cc_limit/00007-chanel-fall-2024-ready-to-wear-credit-gorunway.jpg,"(53, 81, 78)",Dark Color
Chanel,https://assets.vogue.com/photos/65e71bbba8bb08c1cf71ebaf/master/w_2560%2Cc_limit/00008-chanel-fall-2024-ready-to-wear-credit-gorunway.jpg,"(18, 18, 27)",Dark Color
Chanel,https://assets.vogue.com/photos/65e71bbbd27b5f885afef491/master/w_2560%2Cc_limit/00009-chanel-fall-2024-ready-to-wear-credit-gorunway.jpg,"(255, 191, 217)",Light Color
Chanel,https://assets.vogue.com/photos/65e72a17821c2661d9f0d200/master/w_2560%2Cc_limit/00001-chanel-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(16, 18, 27)",Dark Color
Chanel,https://assets.vogue.com/photos/65e72a1841499505876f3f3f/master/w_2560%2Cc_limit/00002-chanel-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(236, 191, 194)",Light Color
Chanel,https://assets.vogue.com/photos/65e72a1800f849071e1af958/master/w_2560%2Cc_limit/00003-chanel-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(251, 191, 164)",Light Color
Chanel,https://assets.vogue.com/photos/65e72a1c5a417cef56e0d713/master/w_2560%2Cc_limit/00004-chanel-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(235, 191, 172)",Other
Chanel,https://assets.vogue.com/photos/65e72a1b821c2661d9f0d202/master/w_2560%2Cc_limit/00005-chanel-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(254, 255, 255)",Light Color
Chanel,https://assets.vogue.com/photos/65e72a1c41499505876f3f41/master/w_2560%2Cc_limit/00006-chanel-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(39, 74, 66)",Dark Color
Chanel,https://assets.vogue.com/photos/65e72a1e478dfed87195952b/master/w_2560%2Cc_limit/00007-chanel-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(54, 58, 59)",Dark Color
Chanel,https://assets.vogue.com/photos/65e72a1faa74fc2f307595b8/master/w_2560%2Cc_limit/00008-chanel-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(52, 81, 66)",Dark Color
Chanel,https://assets.vogue.com/photos/65e72a1ffa913c98d611ec30/master/w_2560%2Cc_limit/00009-chanel-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(52, 81, 98)",Dark Color
Chanel,https://assets.vogue.com/photos/65e73102adfc0cf5ad896d12/master/w_2560%2Cc_limit/Chanel%2520FW24%2520-%2520Acielle%2520-%25203jpg.jpg,"(255, 191, 71)",Brown/Beige Color
Chanel,https://assets.vogue.com/photos/65e73102f723a118c7b2150f/master/w_2560%2Cc_limit/Chanel%2520FW24%2520-%2520Acielle%2520-%25201.jpg,"(1, 0, 0)",Dark Color
Chanel,https://assets.vogue.com/photos/65e73102365a8346f922dfc5/master/w_2560%2Cc_limit/Chanel%2520FW24%2520-%2520Acielle%2520-%25202jpg.jpg,"(1, 0, 0)",Dark Color
Chanel,https://assets.vogue.com/photos/65e731033e41041a82064664/master/w_2560%2Cc_limit/Chanel%2520FW24%2520-%2520Acielle%2520-%25205jpg.jpg,"(1, 0, 2)",Dark Color
Chanel,https://assets.vogue.com/photos/65e731036a9966784460d93e/master/w_2560%2Cc_limit/Chanel%2520FW24%2520-%2520Acielle%2520-%25206.jpg,"(254, 191, 130)",Other
Chanel,https://assets.vogue.com/photos/65e731037a2925c70647f48b/master/w_2560%2Cc_limit/Chanel%2520FW24%2520-%2520Acielle%2520-%25204jpg.jpg,"(16, 18, 23)",Dark Color
Chanel,https://assets.vogue.com/photos/65e731058fad83f44f242a56/master/w_2560%2Cc_limit/Chanel%2520FW24%2520-%2520Acielle%2520-%25208.jpg,"(255, 191, 143)",Other
Chanel,https://assets.vogue.com/photos/65e731059d1b15caa32122ab/master/w_2560%2Cc_limit/Chanel%2520FW24%2520-%2520Acielle%2520-%25209.jpg,"(254, 191, 152)",Other
Chanel,https://assets.vogue.com/photos/65e7310582f441ebdf85d9c1/master/w_2560%2Cc_limit/Chanel%2520FW24%2520-%2520Acielle%2520-%25207.jpg,"(1, 0, 2)",Dark Color
Chanel,https://assets.vogue.com/photos/66a2640c36b075e7c5cfa319/master/w_1280%2Cc_limit/00001-rachel-antonoff-fall-2024-ready-to-wea-credit-brand.jpg,"(51, 0, 0)",Dark Color
Alexander McQueen,https://assets.vogue.com/photos/65e3ae739f7090acc42ba495/master/w_1280%2Cc_limit/00001-alexander-mcqueen-fall-2024-ready-to-wear-credit-brand.jpg,"(18, 18, 25)",Dark Color
Alexander McQueen,https://assets.vogue.com/photos/65e3ae7d0744bded7b7894f6/master/w_2560%2Cc_limit/00001-alexander-mcqueen-fall-2024-ready-to-wear-credit-brand.jpg,"(249, 191, 158)",Other
Alexander McQueen,https://assets.vogue.com/photos/65e3ae7f0cc5521d53d7583b/master/w_2560%2Cc_limit/00002-alexander-mcqueen-fall-2024-ready-to-wear-credit-brand.jpg,"(16, 18, 29)",Dark Color
Alexander McQueen,https://assets.vogue.com/photos/65e3ae7f6f69f390588128b7/master/w_2560%2Cc_limit/00003-alexander-mcqueen-fall-2024-ready-to-wear-credit-brand.jpg,"(3, 0, 0)",Dark Color
Alexander McQueen,https://assets.vogue.com/photos/65e3ae818b5eba28157df708/master/w_2560%2Cc_limit/00004-alexander-mcqueen-fall-2024-ready-to-wear-credit-brand.jpg,"(114, 49, 20)",Dark Color
Alexander McQueen,https://assets.vogue.com/photos/65e3ae836f69f390588128ba/master/w_2560%2Cc_limit/00005-alexander-mcqueen-fall-2024-ready-to-wear-credit-brand.jpg,"(1, 0, 2)",Dark Color
Alexander McQueen,https://assets.vogue.com/photos/65e3ae848fce6647e6d3a3e9/master/w_2560%2Cc_limit/00006-alexander-mcqueen-fall-2024-ready-to-wear-credit-brand.jpg,"(255, 255, 255)",Light Color
Alexander McQueen,https://assets.vogue.com/photos/65e3ae85d0ccf08205c362c3/master/w_2560%2Cc_limit/00007-alexander-mcqueen-fall-2024-ready-to-wear-credit-brand.jpg,"(1, 0, 2)",Dark Color
Alexander McQueen,https://assets.vogue.com/photos/65e3ae89124210923073c21c/master/w_2560%2Cc_limit/00008-alexander-mcqueen-fall-2024-ready-to-wear-credit-brand.jpg,"(1, 0, 2)",Dark Color
Alexander McQueen,https://assets.vogue.com/photos/65e3ae88c37f4559cfac680f/master/w_2560%2Cc_limit/00009-alexander-mcqueen-fall-2024-ready-to-wear-credit-brand.jpg,"(255, 255, 255)",Light Color
Alexander McQueen,https://assets.vogue.com/photos/65e9d3b24cdb99356ddfd5fa/master/w_2560%2Cc_limit/00001-alexander-mcqueen-fall-2024-ready-to-wear-details-credit-brand.jpg,"(18, 18, 19)",Dark Color
Alexander McQueen,https://assets.vogue.com/photos/65e9d3b2fc04de1dc9d5eff8/master/w_2560%2Cc_limit/00002-alexander-mcqueen-fall-2024-ready-to-wear-details-credit-brand.jpg,"(18, 18, 19)",Dark Color
Alexander McQueen,https://assets.vogue.com/photos/65e9d3b37e7a9ca3575b603a/master/w_2560%2Cc_limit/00003-alexander-mcqueen-fall-2024-ready-to-wear-details-credit-brand.jpg,"(18, 18, 21)",Dark Color
Alexander McQueen,https://assets.vogue.com/photos/65e9d3b6eb4e11ae8ad0b1cd/master/w_2560%2Cc_limit/00004-alexander-mcqueen-fall-2024-ready-to-wear-details-credit-brand.jpg,"(190, 187, 192)",Other
Alexander McQueen,https://assets.vogue.com/photos/65e9d3b713bf123c752d0fbf/master/w_2560%2Cc_limit/00005b-alexander-mcqueen-fall-2024-ready-to-wear-details-credit-brand.jpg,"(255, 255, 255)",Light Color
Alexander McQueen,https://assets.vogue.com/photos/65e9d3b7a3b12ad3638ff4a3/master/w_2560%2Cc_limit/00006b-alexander-mcqueen-fall-2024-ready-to-wear-details-credit-brand.jpg,"(18, 18, 19)",Dark Color
Alexander McQueen,https://assets.vogue.com/photos/65e9d3b979f51394ddb04f3a/master/w_2560%2Cc_limit/00006c-alexander-mcqueen-fall-2024-ready-to-wear-details-credit-brand.jpg,"(255, 255, 255)",Light Color
Alexander McQueen,https://assets.vogue.com/photos/65e9d3ba4cdb99356ddfd5fc/master/w_2560%2Cc_limit/00007b-alexander-mcqueen-fall-2024-ready-to-wear-details-credit-brand.jpg,"(16, 18, 23)",Dark Color
Alexander McQueen,https://assets.vogue.com/photos/65e9d3baa3b12ad3638ff4a5/master/w_2560%2Cc_limit/00007c-alexander-mcqueen-fall-2024-ready-to-wear-details-credit-brand.jpg,"(18, 18, 19)",Dark Color
Alexander McQueen,https://assets.vogue.com/photos/66a2640c36b075e7c5cfa319/master/w_1280%2Cc_limit/00001-rachel-antonoff-fall-2024-ready-to-wea-credit-brand.jpg,"(51, 0, 0)",Dark Color
Balenciaga,https://assets.vogue.com/photos/65e48853124210923073c26b/master/w_1280%2Cc_limit/00001-balenciaga-fall-2024-ready-to-wear-credit-gorunway.jpg,"(1, 0, 4)",Dark Color
Balenciaga,https://assets.vogue.com/photos/65e487d1fbaff921594a8cdf/master/w_2560%2Cc_limit/00001-balenciaga-fall-2024-ready-to-wear-credit-gorunway.jpg,"(1, 0, 4)",Dark Color
Balenciaga,https://assets.vogue.com/photos/65e487d1831f8afb60b1b3d5/master/w_2560%2Cc_limit/00002-balenciaga-fall-2024-ready-to-wear-credit-gorunway.jpg,"(250, 255, 255)",Light Color
Balenciaga,https://assets.vogue.com/photos/65e487d1aac93652610cb1db/master/w_2560%2Cc_limit/00003-balenciaga-fall-2024-ready-to-wear-credit-gorunway.jpg,"(93, 91, 115)",Other
Balenciaga,https://assets.vogue.com/photos/65e487d4ecf727e53604e2d8/master/w_2560%2Cc_limit/00004-balenciaga-fall-2024-ready-to-wear-credit-gorunway.jpg,"(1, 0, 0)",Dark Color
Balenciaga,https://assets.vogue.com/photos/65e487d6588409055bf7d51c/master/w_2560%2Cc_limit/00005-balenciaga-fall-2024-ready-to-wear-credit-gorunway.jpg,"(1, 0, 2)",Dark Color
Balenciaga,https://assets.vogue.com/photos/65e487d50af88bc01c19eb98/master/w_2560%2Cc_limit/00006-balenciaga-fall-2024-ready-to-wear-credit-gorunway.jpg,"(106, 37, 26)",Dark Color
Balenciaga,https://assets.vogue.com/photos/65e487d872f2ad2b9419ac2d/master/w_2560%2Cc_limit/00007-balenciaga-fall-2024-ready-to-wear-credit-gorunway.jpg,"(92, 72, 85)",Dark Color
Balenciaga,https://assets.vogue.com/photos/65e487d80af88bc01c19eb9a/master/w_2560%2Cc_limit/00008-balenciaga-fall-2024-ready-to-wear-credit-gorunway.jpg,"(1, 0, 0)",Dark Color
Balenciaga,https://assets.vogue.com/photos/65e487d9aac93652610cb1de/master/w_2560%2Cc_limit/00009-balenciaga-fall-2024-ready-to-wear-credit-gorunway.jpg,"(92, 101, 100)",Other
Balenciaga,https://assets.vogue.com/photos/66019705f21ec576cfe46718/master/w_2560%2Cc_limit/00001-balenciaga-fall-2024-ready-to-wear-details-credit-brand.jpg,"(248, 191, 187)",Light Color
Balenciaga,https://assets.vogue.com/photos/660197045d56e3e50a83ae8e/master/w_2560%2Cc_limit/00002-balenciaga-fall-2024-ready-to-wear-details-credit-brand.jpg,"(5, 37, 40)",Dark Color
Balenciaga,https://assets.vogue.com/photos/660197047f34adf99a86000b/master/w_2560%2Cc_limit/00003-balenciaga-fall-2024-ready-to-wear-details-credit-brand.jpg,"(1, 0, 0)",Dark Color
Balenciaga,https://assets.vogue.com/photos/6601970c7b539f2ff4a22dee/master/w_2560%2Cc_limit/00004-balenciaga-fall-2024-ready-to-wear-details-credit-brand.jpg,"(10, 0, 0)",Dark Color
Balenciaga,https://assets.vogue.com/photos/6601970bee4e8d770af51c94/master/w_2560%2Cc_limit/00005-balenciaga-fall-2024-ready-to-wear-details-credit-brand.jpg,"(1, 0, 10)",Dark Color
Balenciaga,https://assets.vogue.com/photos/6601970b5845ec7eafe15834/master/w_2560%2Cc_limit/00006-balenciaga-fall-2024-ready-to-wear-details-credit-brand.jpg,"(242, 191, 197)",Light Color
Balenciaga,https://assets.vogue.com/photos/6601971069bc6f36a88ce986/master/w_2560%2Cc_limit/00007-balenciaga-fall-2024-ready-to-wear-details-credit-brand.jpg,"(252, 191, 186)",Light Color
Balenciaga,https://assets.vogue.com/photos/6601971369bc6f36a88ce988/master/w_2560%2Cc_limit/00008-balenciaga-fall-2024-ready-to-wear-details-credit-brand.jpg,"(255, 255, 255)",Light Color
Balenciaga,https://assets.vogue.com/photos/660197135845ec7eafe15836/master/w_2560%2Cc_limit/00009-balenciaga-fall-2024-ready-to-wear-details-credit-brand.jpg,"(254, 191, 180)",Light Color
Balenciaga,https://assets.vogue.com/photos/65e48425992a206a2816af2b/master/w_2560%2Cc_limit/Balenciaga%2520FW24%2520-%2520Acielle%2520-%25202.jpg,"(255, 255, 255)",Light Color
Balenciaga,https://assets.vogue.com/photos/65e48429831f8afb60b1b3cf/master/w_2560%2Cc_limit/Balenciaga%2520FW24%2520-%2520Acielle%2520-%25201.jpg,"(255, 255, 255)",Light Color
Balenciaga,https://assets.vogue.com/photos/65e484488e033436c8eca86e/master/w_2560%2Cc_limit/Balenciaga%2520FW24%2520-%2520Acielle%2520-%25203.jpg,"(255, 191, 84)",Brown/Beige Color
Balenciaga,https://assets.vogue.com/photos/65e4842dc37f4559cfac6841/master/w_2560%2Cc_limit/Balenciaga%2520FW24%2520-%2520Acielle%2520-%25204.jpg,"(255, 191, 168)",Light Color
Balenciaga,https://assets.vogue.com/photos/66a2640c36b075e7c5cfa319/master/w_1280%2Cc_limit/00001-rachel-antonoff-fall-2024-ready-to-wea-credit-brand.jpg,"(51, 0, 0)",Dark Color
Hermes,https://assets.vogue.com/photos/65e348aff88752637a65d8b5/master/w_1280%2Cc_limit/00001-hermes-fall-2024-ready-to-wear-credit-gorunway.jpg,"(8, 0, 0)",Dark Color
Hermes,https://assets.vogue.com/photos/65e348bbc1ae07ef6f785487/master/w_2560%2Cc_limit/00001-hermes-fall-2024-ready-to-wear-credit-gorunway.jpg,"(1, 0, 0)",Dark Color
Hermes,https://assets.vogue.com/photos/65e348bba5fe08807c1ca901/master/w_2560%2Cc_limit/00002-hermes-fall-2024-ready-to-wear-credit-gorunway.jpg,"(1, 0, 0)",Dark Color
Hermes,https://assets.vogue.com/photos/65e348bbe4011363fc36a189/master/w_2560%2Cc_limit/00003-hermes-fall-2024-ready-to-wear-credit-gorunway.jpg,"(1, 0, 0)",Dark Color
Hermes,https://assets.vogue.com/photos/65e348bfa3014a41621d23fe/master/w_2560%2Cc_limit/00004-hermes-fall-2024-ready-to-wear-credit-gorunway.jpg,"(18, 18, 19)",Dark Color
Hermes,https://assets.vogue.com/photos/65e348c15ebdfbc9590e036a/master/w_2560%2Cc_limit/00005-hermes-fall-2024-ready-to-wear-credit-gorunway.jpg,"(1, 1, 2)",Dark Color
Hermes,https://assets.vogue.com/photos/65e348bfe6dbaaf097a21e6e/master/w_2560%2Cc_limit/00006-hermes-fall-2024-ready-to-wear-credit-gorunway.jpg,"(1, 0, 0)",Dark Color
Hermes,https://assets.vogue.com/photos/65e348c2e6dbaaf097a21e70/master/w_2560%2Cc_limit/00007-hermes-fall-2024-ready-to-wear-credit-gorunway.jpg,"(118, 0, 6)",Dark Color
Hermes,https://assets.vogue.com/photos/65e348c3c6e456a3835463b3/master/w_2560%2Cc_limit/00008-hermes-fall-2024-ready-to-wear-credit-gorunway.jpg,"(77, 1, 4)",Dark Color
Hermes,https://assets.vogue.com/photos/65e348c4c12662295c73c379/master/w_2560%2Cc_limit/00009-hermes-fall-2024-ready-to-wear-credit-gorunway.jpg,"(119, 0, 6)",Dark Color
Hermes,https://assets.vogue.com/photos/65e391e1ab89229fece5ea1c/master/w_2560%2Cc_limit/00001-hermes-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(1, 0, 0)",Dark Color
Hermes,https://assets.vogue.com/photos/65e391df715541b5dd60601f/master/w_2560%2Cc_limit/00002-hermes-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(1, 0, 0)",Dark Color
Hermes,https://assets.vogue.com/photos/65e391e0f59edd6d20943c44/master/w_2560%2Cc_limit/00003-hermes-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(1, 0, 0)",Dark Color
Hermes,https://assets.vogue.com/photos/65e391e4715541b5dd606021/master/w_2560%2Cc_limit/00004-hermes-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(16, 18, 15)",Dark Color
Hermes,https://assets.vogue.com/photos/65e391e4167977f4144bb27c/master/w_2560%2Cc_limit/00005-hermes-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(1, 0, 0)",Dark Color
Hermes,https://assets.vogue.com/photos/65e391e6894dcb651d623863/master/w_2560%2Cc_limit/00006-hermes-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(1, 0, 0)",Dark Color
Hermes,https://assets.vogue.com/photos/65e391eadfc407367bb0b4c6/master/w_2560%2Cc_limit/00007-hermes-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(1, 0, 0)",Dark Color
Hermes,https://assets.vogue.com/photos/65e391ea97ea2f1664f3a3d0/master/w_2560%2Cc_limit/00008-hermes-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(1, 0, 0)",Dark Color
Hermes,https://assets.vogue.com/photos/65e391ea7db426aeb0b3343a/master/w_2560%2Cc_limit/00009-hermes-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(1, 0, 0)",Dark Color
Hermes,https://assets.vogue.com/photos/65e34fe03763dd163e38418c/master/w_2560%2Cc_limit/Hermes%2520FW24%2520-%2520Acielle%2520-%25201.jpg,"(2, 1, 4)",Dark Color
Hermes,https://assets.vogue.com/photos/65e34fdfe2b4de695765ccb1/master/w_2560%2Cc_limit/Hermes%2520FW24%2520-%2520Acielle%2520-%25202.jpg,"(202, 201, 203)",Light Color
Hermes,https://assets.vogue.com/photos/65e34fdfef80e09430972f76/master/w_2560%2Cc_limit/Hermes%2520FW24%2520-%2520Acielle%2520-%25203.jpg,"(246, 191, 159)",Other
Hermes,https://assets.vogue.com/photos/65e34fe0dfc407367bb0b47f/master/w_2560%2Cc_limit/Hermes%2520FW24%2520-%2520Acielle%2520-%25204.jpg,"(249, 191, 172)",Light Color
Hermes,https://assets.vogue.com/photos/65e34fdfc6e456a3835463d2/master/w_2560%2Cc_limit/Hermes%2520FW24%2520-%2520Acielle%2520-%25205.jpg,"(177, 176, 178)",Other
Hermes,https://assets.vogue.com/photos/65e34fe0ef31827dc56ab9a6/master/w_2560%2Cc_limit/Hermes%2520FW24%2520-%2520Acielle%2520-%25206.jpg,"(200, 194, 184)",Other
Hermes,https://assets.vogue.com/photos/65e34fe1873c56ee0046dc22/master/w_2560%2Cc_limit/Hermes%2520FW24%2520-%2520Acielle%2520-%25207.jpg,"(200, 194, 194)",Other
Hermes,https://assets.vogue.com/photos/65e34fe1680921a1c5f3bb35/master/w_2560%2Cc_limit/Hermes%2520FW24%2520-%2520Acielle%2520-%25208.jpg,"(185, 179, 173)",Other
Hermes,https://assets.vogue.com/photos/65e34fe29799d50b5394b1c7/master/w_2560%2Cc_limit/Hermes%2520FW24%2520-%2520Acielle%2520-%25209.jpg,"(200, 194, 198)",Other
Hermes,https://assets.vogue.com/photos/66a2640c36b075e7c5cfa319/master/w_1280%2Cc_limit/00001-rachel-antonoff-fall-2024-ready-to-wea-credit-brand.jpg,"(51, 0, 0)",Dark Color
Loewe,https://assets.vogue.com/photos/65e1e18fdabdea92e845a7bd/master/w_1280%2Cc_limit/00001-loewe-fall-2024-ready-to-wear-credit-gorunway.jpg,"(238, 191, 194)",Light Color
Loewe,https://assets.vogue.com/photos/65e1e19f2fa65702730ed838/master/w_2560%2Cc_limit/00001-loewe-fall-2024-ready-to-wear-credit-gorunway.jpg,"(238, 191, 194)",Light Color
Loewe,https://assets.vogue.com/photos/65e1e1a1e01e4fc0f69a8f29/master/w_2560%2Cc_limit/00002-loewe-fall-2024-ready-to-wear-credit-gorunway.jpg,"(1, 0, 4)",Dark Color
Loewe,https://assets.vogue.com/photos/65e1e1a0c12662295c73c07b/master/w_2560%2Cc_limit/00003-loewe-fall-2024-ready-to-wear-credit-gorunway.jpg,"(242, 255, 255)",Light Color
Loewe,https://assets.vogue.com/photos/65e1e1a30150dccb5748619b/master/w_2560%2Cc_limit/00004-loewe-fall-2024-ready-to-wear-credit-gorunway.jpg,"(18, 18, 21)",Dark Color
Loewe,https://assets.vogue.com/photos/65e1e1a6aa9664f81b8f4f62/master/w_2560%2Cc_limit/00005-loewe-fall-2024-ready-to-wear-credit-gorunway.jpg,"(247, 191, 187)",Light Color
Loewe,https://assets.vogue.com/photos/65e1e1a76223a1b8e4aa4943/master/w_2560%2Cc_limit/00006-loewe-fall-2024-ready-to-wear-credit-gorunway.jpg,"(89, 107, 81)",Other
Loewe,https://assets.vogue.com/photos/65e1e1a718d223d71d9d0d21/master/w_2560%2Cc_limit/00007-loewe-fall-2024-ready-to-wear-credit-gorunway.jpg,"(255, 255, 255)",Light Color
Loewe,https://assets.vogue.com/photos/65e1e1aa149ac20ed54fd34b/master/w_2560%2Cc_limit/00008-loewe-fall-2024-ready-to-wear-credit-gorunway.jpg,"(255, 255, 255)",Light Color
Loewe,https://assets.vogue.com/photos/65e1e1afa49bdf770fdb9869/master/w_2560%2Cc_limit/00009-loewe-fall-2024-ready-to-wear-credit-gorunway.jpg,"(190, 200, 196)",Other
Loewe,https://assets.vogue.com/photos/65e209c8c48687c88e37aec9/master/w_2560%2Cc_limit/00001-loewe-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(255, 127, 168)",Other
Loewe,https://assets.vogue.com/photos/65e209c8e01e4fc0f69a8f51/master/w_2560%2Cc_limit/00002-loewe-fall-2024-ready-to-wear-details-credit-gorunway.jpg,"(255, 255, 255)",Light Color
